sample_id,raw_index,true_cte_idx,true_he_idx,true_cte,true_he,pred_cte_idx,pred_he_idx,pred_cte,pred_he,cte_logit_0,cte_logit_1,cte_logit_2,cte_logit_3,cte_logit_4,he_logit_0,he_logit_1,he_logit_2,cte_prob_0,cte_prob_1,cte_prob_2,cte_prob_3,cte_prob_4,he_prob_0,he_prob_1,he_prob_2,correct_cte,correct_he
0,1242,1,0,-1,-1,1,0,-1,-1,-0.5886577367782593,0.9042043089866638,-0.2078651338815689,-0.9713577032089233,-0.8751386404037476,0.41806989908218384,-0.8691601157188416,-0.1285887211561203,0.11981535702943802,0.5331558585166931,0.17534305155277252,0.08171616494655609,0.08996952325105667,0.5391082167625427,0.14881236851215363,0.31207942962646484,1,1
1,4886,0,1,-2,0,0,1,-2,0,1.6915627717971802,-0.5109227299690247,-0.0023927614092826843,-0.5885705947875977,-1.3166093826293945,-0.005449086427688599,0.32983309030532837,0.13634958863258362,0.6915765404701233,0.07643863558769226,0.12710560858249664,0.07072793692350388,0.034151338040828705,0.28163620829582214,0.39382174611091614,0.32454198598861694,1,1
2,767,4,0,2,-1,4,0,2,-1,-0.61568284034729,-0.7419633269309998,-1.158094882965088,-0.762083113193512,0.9854474067687988,0.1256902664899826,-0.14450505375862122,-0.6616164445877075,0.12069776654243469,0.10637909173965454,0.07016696035861969,0.10426017642021179,0.5984960198402405,0.45079582929611206,0.34406110644340515,0.20514310896396637,1,1
3,1470,4,2,2,1,4,2,2,1,-1.1421750783920288,-0.9199770092964172,-0.7580903768539429,-0.30586257576942444,1.0971355438232422,-0.8603429794311523,-0.22141988575458527,0.432135671377182,0.06488538533449173,0.08103010058403015,0.09526927024126053,0.14974519610404968,0.6090700030326843,0.1529931128025055,0.28983622789382935,0.5571706295013428,1,1
4,3401,4,0,2,-1,4,0,2,-1,-0.5101318359375,-0.9484913945198059,-1.0111140012741089,-0.5940231084823608,1.119523286819458,0.4696604609489441,-0.39115411043167114,-0.5738623142242432,0.1208798810839653,0.07797886431217194,0.07324539124965668,0.11115282773971558,0.6167430281639099,0.5633710026741028,0.23820313811302185,0.19842585921287537,1,1
5,3854,0,2,-2,1,0,2,-2,1,0.7280208468437195,0.4686746597290039,-0.13099919259548187,-1.0955630540847778,-1.0371522903442383,-1.0463892221450806,-0.27895206212997437,1.0722765922546387,0.3956109285354614,0.30523595213890076,0.16757166385650635,0.06386984884738922,0.06771163642406464,0.08715154230594635,0.1877451390028,0.7251033186912537,1,1
6,1718,0,1,-2,0,0,1,-2,0,1.353195071220398,-0.36312949657440186,-0.1776587963104248,-0.4366721212863922,-1.0384576320648193,-0.05404362082481384,0.28927081823349,0.1316714882850647,0.6043986082077026,0.10862584412097931,0.13076215982437134,0.10092390328645706,0.055289410054683685,0.2767253518104553,0.3900753855705261,0.33319926261901855,1,1
7,494,4,2,2,1,4,2,2,1,-1.5661858320236206,-0.411056250333786,-1.1687898635864258,-0.8406535387039185,1.2852505445480347,-0.9090469479560852,-0.9629666805267334,0.48909512162208557,0.039934758096933365,0.1267702877521515,0.05942072346806526,0.0824984461069107,0.6913757920265198,0.1668006330728531,0.1580449640750885,0.6751543879508972,1,1
8,1049,1,2,-1,1,1,2,-1,1,-0.6721621155738831,1.3531572818756104,-0.28938722610473633,-1.1628155708312988,-0.7368311882019043,-1.2319929599761963,-0.4073575735092163,0.8423722982406616,0.08624792844057083,0.6536325216293335,0.1264694482088089,0.05280323326587677,0.08084686845541,0.08896369487047195,0.2029305249452591,0.7081058025360107,1,1
9,1300,0,0,-2,-1,0,0,-2,-1,0.513200044631958,-0.009486783295869827,-0.5453602075576782,-0.583284854888916,-0.3763345181941986,0.711309015750885,-0.7094132900238037,-0.1349511742591858,0.37247133255004883,0.22084768116474152,0.1292307823896408,0.12442151457071304,0.1530286967754364,0.5986031889915466,0.14458632469177246,0.25681057572364807,1,1
